::ffff:73.164.42.204 {
model deterministic on,08/22/24 08:12:14.5973384 UTC
model precision 6,08/22/24 08:12:14.6004400 UTC
model random 10000,08/22/24 08:12:14.6033158 UTC
model deterministic on,08/22/24 08:12:17.9929799 UTC
model precision 6,08/22/24 08:12:17.9962209 UTC
model random 10000,08/22/24 08:12:17.9995835 UTC
model new,08/22/24 08:12:17.9999600 UTC
model deterministic on,08/22/24 08:12:22.1444403 UTC
model precision 6,08/22/24 08:12:22.1477206 UTC
model random 10000,08/22/24 08:12:22.1510850 UTC
model new,08/22/24 08:12:22.1514494 UTC
model deterministic on,08/22/24 08:12:26.0162888 UTC

}
::ffff:73.164.42.204 {
model precision 6,08/22/24 08:12:26.0264564 UTC
model random 10000,08/22/24 08:12:26.0300872 UTC
model new,08/22/24 08:12:26.0304733 UTC
model deterministic on,08/22/24 08:13:03.4641931 UTC
model precision 6,08/22/24 08:13:03.4673993 UTC
model random 10000,08/22/24 08:13:03.4708587 UTC
model new,08/22/24 08:13:03.4712403 UTC
model deterministic on,08/22/24 08:13:04.6960797 UTC
model precision 6,08/22/24 08:13:04.6993443 UTC
model random 10000,08/22/24 08:13:04.7027467 UTC
model new,08/22/24 08:13:04.7031170 UTC
model deterministic on,08/22/24 08:15:08.0996367 UTC
model precision 6,08/22/24 08:15:08.1160361 UTC
model random 10000,08/22/24 08:15:08.1217632 UTC

}
::ffff:73.164.42.204 {
model deterministic on,08/22/24 08:15:18.1050514 UTC
model precision 6,08/22/24 08:15:18.1084828 UTC
model random 10000,08/22/24 08:15:18.1119670 UTC
model new,08/22/24 08:15:18.1123522 UTC
model deterministic on,08/22/24 08:15:36.9985856 UTC
model precision 6,08/22/24 08:15:37.0020421 UTC
model random 10000,08/22/24 08:15:37.0057485 UTC
model new,08/22/24 08:15:37.0061662 UTC
model deterministic on,08/22/24 08:15:38.9980025 UTC
model precision 6,08/22/24 08:15:39.0012172 UTC
model random 10000,08/22/24 08:15:39.0047780 UTC
model new,08/22/24 08:15:39.0058484 UTC

}
::ffff:73.164.42.204 {
model deterministic on,08/22/24 08:15:41.9913358 UTC
model precision 6,08/22/24 08:15:41.9947080 UTC
model random 10000,08/22/24 08:15:41.9981100 UTC
model new,08/22/24 08:15:41.9984900 UTC
model deterministic on,08/22/24 09:18:50.1878240 UTC
model precision 6,08/22/24 09:18:50.1916624 UTC
model random 10000,08/22/24 09:18:50.1954310 UTC
model deterministic on,08/22/24 09:18:57.1514129 UTC
model precision 6,08/22/24 09:18:57.1545885 UTC
model random 10000,08/22/24 09:18:57.1581976 UTC
mode new,08/22/24 09:18:57.1585969 UTC
model deterministic on,08/22/24 09:18:59.6768194 UTC
model precision 6,08/22/24 09:18:59.6800724 UTC
model random 10000,08/22/24 09:18:59.6834217 UTC
model new,08/22/24 09:18:59.6837900 UTC
model deterministic on,08/22/24 09:19:02.1659374 UTC
model precision 6,08/22/24 09:19:02.1693580 UTC
model random 10000,08/22/24 09:19:02.1728168 UTC
model new,08/22/24 09:19:02.1731697 UTC
model deterministic on,08/22/24 09:20:16.4637251 UTC
model precision 6,08/22/24 09:20:16.4846499 UTC
model random 10000,08/22/24 09:20:16.4889459 UTC
model deterministic on,08/22/24 09:20:21.6895727 UTC
model precision 6,08/22/24 09:20:21.6926900 UTC
model random 10000,08/22/24 09:20:21.6960307 UTC
model new,08/22/24 09:20:21.6963782 UTC
model deterministic on,08/22/24 09:24:36.1787654 UTC
model precision 6,08/22/24 09:24:36.1923243 UTC
model random 10000,08/22/24 09:24:36.1966250 UTC
model deterministic on,08/22/24 09:24:42.3886606 UTC
model precision 6,08/22/24 09:24:42.3918691 UTC
model random 10000,08/22/24 09:24:42.3953812 UTC
model new,08/22/24 09:24:42.3957417 UTC
model deterministic on,08/22/24 09:24:45.5320090 UTC
model precision 6,08/22/24 09:24:45.5354638 UTC
model random 10000,08/22/24 09:24:45.5390339 UTC
model new,08/22/24 09:24:45.5393997 UTC
model deterministic on,08/22/24 09:24:47.8600837 UTC
model precision 6,08/22/24 09:24:47.8632182 UTC
model random 10000,08/22/24 09:24:47.8667331 UTC
model new,08/22/24 09:24:47.8672016 UTC
model deterministic on,08/22/24 09:24:50.0911812 UTC
model precision 6,08/22/24 09:24:50.0944166 UTC
model random 10000,08/22/24 09:24:50.0978125 UTC
model new,08/22/24 09:24:50.0981618 UTC
model deterministic on,08/22/24 09:26:19.4312070 UTC
model precision 6,08/22/24 09:26:19.4429477 UTC
model random 10000,08/22/24 09:26:19.4466536 UTC

}
::ffff:73.164.42.204 {
model deterministic on,08/22/24 09:26:24.0221529 UTC
model precision 6,08/22/24 09:26:24.0254852 UTC
model random 10000,08/22/24 09:26:24.0287453 UTC
model new,08/22/24 09:26:24.0293442 UTC
model deterministic on,08/22/24 09:26:30.0516544 UTC
model precision 6,08/22/24 09:26:30.0549964 UTC
model random 10000,08/22/24 09:26:30.0583591 UTC
model new,08/22/24 09:26:30.0587477 UTC
model deterministic on,08/22/24 09:26:32.3316780 UTC
model precision 6,08/22/24 09:26:32.3349013 UTC
model random 10000,08/22/24 09:26:32.3383558 UTC
model new,08/22/24 09:26:32.3393597 UTC

}
::ffff:73.164.42.204 {
model deterministic on,08/22/24 09:26:35.6013166 UTC
model precision 6,08/22/24 09:26:35.6048356 UTC
model random 10000,08/22/24 09:26:35.6083121 UTC
model new,08/22/24 09:26:35.6086855 UTC
model deterministic on,08/22/24 09:34:12.0246025 UTC
model precision 6,08/22/24 09:34:12.0282633 UTC
model random 10000,08/22/24 09:34:12.0315886 UTC
model deterministic on,08/22/24 10:14:15.1583580 UTC
model precision 6,08/22/24 10:14:15.1617938 UTC
model random 10000,08/22/24 10:14:15.1651716 UTC
model deterministic on,08/22/24 10:14:25.4381735 UTC
model precision 6,08/22/24 10:14:25.4498491 UTC
model random 10000,08/22/24 10:14:25.4531926 UTC
model new,08/22/24 10:14:25.4535355 UTC

}
::ffff:73.164.42.204 {
model deterministic on,08/22/24 10:14:29.7548125 UTC
model precision 6,08/22/24 10:14:29.7582369 UTC
model random 10000,08/22/24 10:14:29.7616335 UTC
model new,08/22/24 10:14:29.7620800 UTC
model deterministic on,08/22/24 10:14:37.4349022 UTC
model precision 6,08/22/24 10:14:37.4386881 UTC
model random 10000,08/22/24 10:14:37.4420586 UTC
model new,08/22/24 10:14:37.4424384 UTC
model deterministic on,08/22/24 10:14:45.5963936 UTC
model precision 6,08/22/24 10:14:45.6000177 UTC
model random 10000,08/22/24 10:14:45.6036369 UTC
model new,08/22/24 10:14:45.6045332 UTC

}
::ffff:73.164.42.204 {
model deterministic on,08/22/24 10:14:49.7563382 UTC
model precision 6,08/22/24 10:14:49.7599549 UTC
model random 10000,08/22/24 10:14:49.7634282 UTC
model new,08/22/24 10:14:49.7638055 UTC
model deterministic on,08/22/24 10:19:11.1592696 UTC
model precision 6,08/22/24 10:19:11.1624161 UTC
model random 10000,08/22/24 10:19:11.1656907 UTC
model deterministic on,08/22/24 10:19:14.1806429 UTC
model precision 6,08/22/24 10:19:14.1838820 UTC
model random 10000,08/22/24 10:19:14.1965618 UTC
model new,08/22/24 10:19:14.1969852 UTC

}
